measured_at,rule,count,repo
2026-05-12T00:00:00+00:00,eslint(no-unused-vars),116,apache/superset
2026-05-12T00:00:00+00:00,react-hooks(exhaustive-deps),238,apache/superset
2026-05-12T00:00:00+00:00,eslint(prefer-destructuring),120,apache/superset
2026-05-12T00:00:00+00:00,eslint(no-console),60,apache/superset
2026-05-12T00:00:00+00:00,react(jsx-key),40,apache/superset
2026-05-12T00:00:00+00:00,react(no-unstable-nested-components),30,apache/superset
2026-05-12T00:00:00+00:00,jest(no-conditional-expect),25,apache/superset
2026-05-12T00:00:00+00:00,react-hooks(rules-of-hooks),20,apache/superset
2026-05-12T00:00:00+00:00,typescript(no-explicit-any),10,apache/superset
2026-05-12T00:00:00+00:00,eslint(no-empty),6,apache/superset
2026-05-12T00:00:00+00:00,eslint(no-prototype-builtins),4,apache/superset
2026-05-12T00:00:00+00:00,eslint(no-async-promise-executor),3,apache/superset
2026-05-12T00:00:00+00:00,eslint(no-case-declarations),2,apache/superset
2026-05-12T00:00:00+00:00,react(no-array-index-key),2,apache/superset
2026-05-12T00:00:00+00:00,eslint(no-useless-escape),1,apache/superset
2026-05-13T00:00:00+00:00,eslint(no-unused-vars),85,apache/superset
2026-05-13T00:00:00+00:00,eslint(no-empty),3,apache/superset
2026-05-13T00:00:00+00:00,eslint(no-prototype-builtins),2,apache/superset
2026-05-13T00:00:00+00:00,eslint(no-async-promise-executor),1,apache/superset
2026-05-13T00:00:00+00:00,eslint(no-case-declarations),1,apache/superset
2026-08-10T00:00:00+00:00,eslint(prefer-destructuring),567,apache/superset
2026-08-10T00:00:00+00:00,react-hooks(exhaustive-deps),381,apache/superset
2026-08-10T00:00:00+00:00,react(no-unstable-nested-components),151,apache/superset
2026-08-10T00:00:00+00:00,eslint(no-console),135,apache/superset
2026-08-10T00:00:00+00:00,react(jsx-key),80,apache/superset
2026-08-10T00:00:00+00:00,jest(no-conditional-expect),68,apache/superset
2026-08-10T00:00:00+00:00,react-hooks(rules-of-hooks),47,apache/superset
2026-08-10T00:00:00+00:00,typescript(no-explicit-any),25,apache/superset
2026-08-10T00:00:00+00:00,eslint(no-empty),16,apache/superset
